text,label
Otel çok temiz ve rahattı, çok memnun kaldık.,pozitif
Personel güler yüzlüydü, tekrar geleceğiz.,pozitif
Yemekler harikaydı, odalar çok temizdi.,pozitif
Konum harika, personel çok ilgiliydi.,pozitif
Otelin konumu çok iyiydi, her yere yakındı.,pozitif
Kahvaltı çok çeşitiydi ve lezzetliydi.,pozitif
Konum mükemmel, personel ilgili ve yardımsever.,pozitif
Fiyat performans dengesi çok iyiydi.,pozitif
Odalar çok geniş ve ferah, memnun kaldık.,pozitif
Manzara müthişti, odada zaman geçirmesi çok keyifliydi.,pozitif
Çalışanlar profesyonel ve güler yüzlüydü.,pozitif
Odalar oldukça temizdi, hizmet kaliteliydi.,pozitif
Konum mükemmeldi, her yere yürüyerek ulaşabildik.,pozitif
Odada çay kahve ikramı vardı, bu çok hoşumuza gitti.,pozitif
Otelden memnun kaldık, tekrar gelmeyi düşünüyoruz.,pozitif
Oda servisi hızlı ve eksiksizdi.,pozitif
Konforlu bir konaklama geçirdik, çok memnun kaldık.,pozitif
Kahvaltı oldukça zengindi, her şey taze ve lezzetliydi.,pozitif
Otel oldukça modern ve temizdi.,pozitif
Resepsiyondaki personel çok yardımcı oldu.,pozitif
Otelin konumu harika, her yere yakın.,pozitif
Yemekler oldukça lezzetliydi, çok beğendik.,pozitif
Personel çok saygılı ve güler yüzlüydü.,pozitif
Odalar temizdi ancak biraz küçük.,negatif
Kaldığımız oda çok konforluydu, güzel bir deneyimdi.,pozitif
Yemekler çok tazeydi ve lezzetliydi.,pozitif
Konaklamamız boyunca personel çok ilgiliydi.,pozitif
Otelin odaları oldukça temizdi.,pozitif
Manzara harikaydı, odalar geniş ve ferahtı.,pozitif
Otelin bahçesi çok güzeldi, keyifli bir ortam vardı.,pozitif
Personel çok sıcakkanlıydı, her konuda yardımcı oldular.,pozitif
Otelin spa merkezi harikaydı, rahatladık.,pozitif
Yemekler oldukça lezzetli ve doyurucuydu.,pozitif
Personel çok deneyimli ve güler yüzlüydü.,pozitif
Oda manzarası harikaydı, tekrar geleceğiz.,pozitif
Fiyat performans açısından çok iyiydi.,pozitif
Oda manzarası müthişti, otelden çok memnun kaldık.,pozitif
Otelin restoranı çok kaliteli, yemekler mükemmeldi.,pozitif
Yatak çok rahattı, deliksiz uyuduk.,pozitif
Oda servisi çok hızlıydı, bekletmediler.,pozitif
Personel çok yardımseverdi, otelden memnun kaldık.,pozitif
Fiyatlar uygundu, hizmet yeterliydi.,pozitif
Kahvaltı oldukça iyiydi, taze ve lezzetliydi.,pozitif
Otel personeli çok cana yakındı, güzel bir tatil oldu.,pozitif
Oda oldukça küçük ve rahatsızdı, memnun kalmadım.,negatif
Resepsiyonda çok bekledik, hizmet kötüydü.,negatif
Fiyatlar çok yüksek, hizmet vasat.,negatif
Odalar ses geçiriyor, hiç memnun kalmadım.,negatif
Temizlik konusunda çok daha iyi olabilirdi.,negatif
Yataklar çok rahatsızdı, uyuyamadık.,negatif
Personel çok kaba davrandı, hiç memnun kalmadık.,negatif
Odada klima bozuktu, çok sıcak oldu.,negatif
Otelin havuzu çok küçük ve kalabalıktı.,negatif
Odaların temizliği yetersizdi.,negatif
Banyodaki su çok soğuktu, sorun yaşadık.,negatif
Otel çok gürültülüydü, sakinlik arayanlara göre değil.,negatif
Wifi bağlantısı çok kötüydü, internete bağlanamadık.,negatif
Yemekler çok kötüydü, hiç lezzetli değildi.,negatif
Restoran bölümü çok kalabalıktı, uzun süre bekledik.,negatif
Personel çok yavaştı, hizmet almak zor oldu.,negatif
Odada minibar çalışmıyordu, bu çok kötüydü.,negatif
Otelin dekorasyonu çok eski, yenilenmesi gerekiyor.,negatif
Odaların ses yalıtımı çok kötüydü, her şeyi duyduk.,negatif
Otel genel olarak güzel ancak hizmet eksik.,negatif
Yataklar çok sertti, rahat edemedik.,negatif
Odada sıcak su problemi vardı, rahatsız olduk.,negatif
Otelin fiyatları çok yüksekti, verilen hizmete göre pahalı.,negatif
Otel çok kalabalıktı, dinlenme fırsatı bulamadık.,negatif
Odada terlik eksikti, istemek zorunda kaldık.,negatif
Otelin restoranı çok pahalıydı, dışarıda yemek yedik.,negatif
Odada havlu eksikti, çok bekledik.,negatif
Personel çok yavaştı, servis gecikiyordu.,negatif
Oda çok küçüktü ve penceresizdi, memnun kalmadık.,negatif
Oda genişti ancak mobilyalar eskiydi.,negatif
Otel genel olarak güzeldi ama bazı eksiklikler vardı.,negatif
Fiyatlar çok yüksekti, beklentilerimizi karşılamadı.,negatif
Otel personeli çok saygısızdı, tekrar gelmem.,negatif
Odada sıcak su akmıyordu, çok rahatsız olduk.,negatif
Otelin yatakları çok rahatsızdı, uyumakta zorlandık.,negatif
Odada televizyon çalışmıyordu, teknik destek gecikti.,negatif
Otelin temizliği iyiydi ancak personel ilgisizdi.,negatif
Kahvaltı çok zayıftı, seçenekler azdı.,negatif
Temizlik personeli işini iyi yapmıyordu, odalar kirliydi.,negatif
Odada böcek gördük, hijyen konusunda endişeliyiz.,negatif
Otelin internet bağlantısı çok kötüydü.,negatif
Oda çok gürültülüydü, rahatsız olduk.,negatif
Otelin konumu kötüydü, her yere uzak.,negatif
Personel ilgisizdi, hizmet yetersizdi.,negatif
Odalar çok küçük ve konforsuzdu.,negatif
Yemekler güzeldi ama seçenek azdı.,negatif
Otelin havuzu kirliydi, kullanamadık.,negatif
